timestamp,symbol,entry_price,exit_price,pnl,side
2025-01-15T09:30:00Z,AAPL,185.50,187.20,1.70,buy
2025-01-15T10:15:00Z,MSFT,420.00,418.50,-1.50,buy
2025-01-16T09:45:00Z,SPY,580.25,582.10,1.85,buy
2025-01-16T11:00:00Z,QQQ,510.00,512.50,2.50,buy
2025-01-17T09:30:00Z,TSLA,245.00,242.00,-3.00,buy
2025-01-17T14:00:00Z,NVDA,875.00,880.50,5.50,buy
2025-01-20T09:30:00Z,AAPL,188.00,190.25,2.25,buy
2025-01-20T10:30:00Z,META,580.00,578.00,-2.00,buy
2025-01-21T09:45:00Z,SPY,585.00,587.50,2.50,buy
2025-01-21T13:00:00Z,AMZN,195.00,197.50,2.50,buy
2025-01-22T09:30:00Z,GOOGL,175.00,173.50,-1.50,buy
2025-01-22T11:30:00Z,MSFT,425.00,428.00,3.00,buy
2025-01-23T09:30:00Z,NVDA,890.00,895.00,5.00,buy
2025-01-23T14:30:00Z,TSLA,250.00,248.00,-2.00,buy
2025-01-24T09:45:00Z,SPY,590.00,592.50,2.50,buy
2025-01-24T10:30:00Z,AAPL,192.00,194.00,2.00,buy
2025-01-27T09:30:00Z,QQQ,515.00,518.00,3.00,buy
2025-01-27T11:00:00Z,META,585.00,583.00,-2.00,buy
2025-01-28T09:30:00Z,AMZN,198.00,200.50,2.50,buy
2025-01-28T13:30:00Z,NVDA,900.00,905.00,5.00,buy
